Title: List of Buildings in 5-County Region with 100 or more eviction filings since 4/1/2020 (as of 12/30/2023)
Source: Atlanta Region Eviction Tracker - https://metroatlhousing.org/atlanta-region-eviction-tracker

Street,City,Zip,countyFIPS,tractID,Filings in Jan 2020,Filings in Feb 2020,Filings in Mar 2020,Filings in Apr 2020,Filings in May 2020,Filings in Jun 2020,Filings in Jul 2020,Filings in Aug 2020,Filings in Sep 2020,Filings in Oct 2020,Filings in Nov 2020,Filings in Dec 2020,Filings in Jan 2021,Filings in Feb 2021,Filings in Mar 2021,Filings in Apr 2021,Filings in May 2021,Filings in Jun 2021,Filings in Jul 2021,Filings in Aug 2021,Filings in Sep 2021,Filings in Oct 2021,Filings in Nov 2021,Filings in Dec 2021,Filings in Jan 2022,Filings in Feb 2022,Filings in Mar 2022,Filings in Apr 2022,Filings in May 2022,Filings in Jun 2022,Filings in Jul 2022,Filings in Aug 2022,Filings in Sep 2022,Filings in Oct 2022,Filings in Nov 2022,Filings in Dec 2022,Filings in Jan 2023,Filings in Feb 2023,Filings in Mar 2023,Filings in Apr 2023,Filings in May 2023,Filings in Jun 2023,Filings in Jul 2023,Filings in Aug 2023,Filings in Sep 2023,Filings in Oct 2023,Filings in Nov 2023,Filings in Dec 2023,Filings in Jan 2024
"3400 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050541",12,9,7,0,0,0,0,0,7,0,0,1,0,1,2,1,0,1,0,3,1,2,1,4,11,6,8,4,7,8,6,0,9,8,14,6,10,3,11,1,7,4,3,3,1,11,10,6,0
"1500 WILLOW TRAIL DR","NORCROSS","30093","135","13135050424",9,10,5,0,0,0,0,15,4,4,12,4,11,4,10,2,5,8,2,8,5,0,1,0,1,0,1,0,0,0,0,0,0,1,11,7,6,5,0,3,10,0,2,3,2,2,1,4,0
"3100 LUMBY DR","DECATUR","30034","089","13089023410",11,10,5,0,0,0,0,0,16,3,5,7,12,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,7,2,5,1,5,10,5,10,13,10,11,10,10,0
"5900 RIVERDALE RD","ATLANTA","30349","063","13063040519",6,9,1,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,2,0,0,0,0,3,5,11,4,17,6,0,0,0,0,38,0,6,0,0,26,7,11,0,0,0,0,2,14,10,0
"2345 PEACHWOOD CIR NE","ATLANTA","30345","089","13089021605",2,1,0,0,0,0,0,0,4,2,6,9,0,0,10,5,4,5,3,4,6,3,2,4,4,5,6,3,3,8,8,3,10,0,10,0,10,3,3,7,3,3,3,5,6,7,2,0,0
"3974 ANNISTOWN RD","SNELLVILLE","30039","135","13135050709",13,7,2,0,0,0,0,3,7,4,6,9,3,3,4,0,0,5,5,2,0,0,0,0,0,9,4,2,7,5,5,7,5,3,8,8,10,4,0,8,11,0,0,1,13,1,5,1,0
"3201 HENDERSON MILL RD","ATLANTA","30341","089","13089021808",2,4,3,0,0,0,0,0,10,10,9,3,1,5,2,3,2,8,7,6,4,3,7,2,6,0,2,1,2,0,3,9,5,0,1,0,2,3,2,4,0,2,3,3,1,3,4,3,0
"4000 DUNWOODY PARK","DUNWOODY","30338","089","13089021218",7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,0,0,0,0,0,0,24,21,12,10,5,3,7,14,4,8,9,10,5,12,9,0,8,6,2,0
"4015 COVINGTON HWY","DECATUR","30032","089","13089023108",2,2,1,0,0,0,0,0,7,0,8,7,0,0,12,2,0,6,3,6,0,9,5,8,5,8,4,3,4,4,3,3,4,3,0,3,0,0,3,2,7,6,3,3,0,1,7,0,0
"4705 W VILLAGE WAY SE","SMYRNA","30080","067","13067031206",6,5,0,0,2,0,0,3,3,2,4,4,5,0,3,3,1,6,1,4,1,3,0,0,1,6,10,3,6,5,9,10,8,5,6,5,7,7,3,4,6,7,9,4,6,3,3,1,0
"639 GARDEN WALK BLVD","COLLEGE PARK","30349","063","13063040520",14,10,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,0,0,5,7,13,1,2,5,15,0,5,12,6,10,1,0,1,11,3,14,19,0,0,0,0,0,20,18,17,6,11,0
"1788 AUSTELL RD SW","MARIETTA","30008","067","13067031002",5,15,6,0,0,0,0,0,5,3,0,6,2,0,3,1,3,0,5,3,3,1,4,4,11,0,7,1,7,3,5,7,3,2,7,4,1,8,6,5,6,2,6,7,7,6,5,4,0
"2401 WINDY HILL RD SE","MARIETTA","30067","067","13067030344",0,7,3,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,4,14,6,5,0,0,10,8,0,0,6,0,3,7,6,6,4,6,7,7,5,9,3,2,7,0,5,5,2,2,0
"3740 CLUB PL","DULUTH","30096","135","13135050211",5,7,5,0,0,0,0,0,0,0,9,12,5,2,0,4,0,0,5,6,0,2,7,0,8,0,0,7,8,4,9,0,1,8,2,5,6,6,1,0,13,7,15,8,11,0,22,5,0
"3833 PEACHTREE RD NE","ATLANTA","30319","089","13089021102",8,10,12,0,0,0,0,1,0,13,6,5,2,1,4,0,7,0,1,4,2,3,4,4,3,3,0,0,4,0,6,2,5,3,0,6,4,3,3,3,0,0,4,2,2,0,1,0,0
"4103 WESLEY CLUB DR","DECATUR","30034","089","13089023414",0,0,0,0,0,0,0,0,0,0,0,1,7,10,9,0,0,2,2,3,4,4,4,7,0,11,8,3,0,10,4,11,10,3,6,19,6,13,8,7,7,1,0,0,9,0,0,0,0
"6862 MABLETON PKWY SE","MABLETON","30126","067","13067031311",9,0,10,0,0,0,0,0,1,2,1,5,0,4,5,8,0,3,0,0,0,0,2,3,0,0,0,27,8,7,0,11,7,0,8,0,14,0,11,8,0,5,13,0,0,3,9,0,0
"3360 STEVE REYNOLDS BLVD","DULUTH","30096","135","13135050211",0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,6,6,6,3,9,6,6,8,5,10,4,3,9,6,4,9,3,9,3,4,2,4,4,4,7,7,5,3,2,2,8,0
"1470 BOGGS RD","DULUTH","30096","135","13135050537",2,4,6,0,0,0,0,0,8,8,3,4,7,7,2,0,0,0,0,10,0,9,1,4,6,7,0,0,16,6,0,0,0,1,0,20,11,5,0,2,9,9,8,8,6,0,4,0,0
"1500 BELLEMEADE DR SW","MARIETTA","30008","067","13067030904",10,8,5,0,0,0,0,0,1,5,1,3,1,0,0,1,0,8,2,0,2,10,6,6,6,3,4,5,3,4,4,4,4,4,7,3,4,7,3,6,3,2,2,3,3,4,2,6,0
"1850 GRAVES RD","NORCROSS","30093","135","13135050418",7,11,4,0,6,2,5,3,4,2,3,3,1,3,0,0,2,1,1,6,3,1,5,1,5,3,2,3,4,1,3,5,6,4,5,4,2,4,0,4,2,3,2,2,4,3,2,6,0
"4335 WINTERS CHAPEL RD","ATLANTA","30360","089","13089021306",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,10,15,21,9,13,4,11,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1405 BEAVER RUIN RD","NORCROSS","30093","135","13135050424",1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,2,14,10,15,8,6,12,9,8,10,3,11,9,8,0,13,8,12,7,15,13,14,26,10,0
"1624 NORMAN DR","COLLEGE PARK","30349","063","13063040204",2,6,3,0,0,0,19,0,0,0,0,0,0,0,28,10,0,0,0,1,1,0,0,1,1,0,5,5,3,9,6,0,8,0,6,4,0,10,10,2,3,10,0,10,7,11,15,9,0
"221 UPPER RIVERDALE RD","JONESBORO","30236","063","13063040415",4,10,6,0,0,0,0,0,0,1,0,7,0,2,1,2,0,0,3,1,2,0,0,1,0,0,0,2,6,11,18,11,5,15,4,9,9,0,0,0,0,13,11,8,0,12,5,4,0
"26 BOULDERCREST LN SE","ATLANTA","30316","089","13089023423",0,0,0,0,0,0,0,3,0,0,1,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,40,0,19,0,0,14,0,0,6,2,1,1,0,0,0,0,8,0
"3050 COBB PKWY NW","KENNESAW","30152","067","13067030224",5,7,2,0,0,0,0,0,0,3,5,5,3,3,6,3,3,9,0,5,7,7,5,8,6,5,0,11,0,0,0,0,0,0,0,0,0,9,4,2,2,0,4,3,2,0,0,6,0
"3695 CUMBERLAND BLVD SE","ATLANTA","30339","067","13067030339",2,1,5,0,0,0,0,0,3,0,0,2,0,0,1,4,3,3,5,6,5,5,4,3,1,5,1,10,10,0,7,8,6,8,0,18,6,7,9,10,10,11,11,11,0,3,5,6,0
"1000 MONTREAL RD","CLARKSTON","30021","089","13089022007",2,4,3,0,0,3,0,0,0,0,2,0,1,1,1,1,2,4,5,3,8,10,0,4,0,10,2,11,1,4,6,5,14,0,4,8,9,8,14,14,10,7,8,6,2,14,7,12,0
"2759 DELK RD","MARIETTA","30067","067","13067030405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15,9,8,10,12,12,13,13,9,6,17,15,11,8,15,15,6,16,8,21,8,23,0
"3000 CUMBERLAND CLUB DR SE","ATLANTA","30339","067","13067031207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,7,21,18,14,10,0,7,4,7,5,0,0,0,0,6,2,0,0,0,1,0
"4021 MCGINNIS FERRY RD","SUWANEE","30024","135","13135050210",7,8,5,0,0,0,0,0,9,6,4,4,7,6,6,1,5,4,1,1,7,0,1,0,0,4,0,1,0,5,2,2,4,5,5,6,5,0,3,4,6,4,5,4,1,8,0,6,0
"1455 SPRING RD SE","SMYRNA","30080","067","13067031111",2,8,3,0,0,0,0,3,1,1,5,3,3,4,2,2,2,1,4,5,4,5,6,4,2,5,3,3,4,3,6,5,4,3,0,6,6,2,2,3,0,2,0,1,1,5,4,2,0
"1035 FRANKLIN GTWY SE","MARIETTA","30067","067","13067030411",17,13,10,0,0,0,0,0,0,14,0,0,23,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,6,1,2,0,9,14,3,7,13,5,3,5,10,10,7,5,8,3,0
"2500 SHALLOWFORD RD NE","ATLANTA","30345","089","13089021605",5,10,5,0,0,0,0,0,0,2,3,3,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,1,2,6,7,12,18,0,13,13,0,0,9,33,0,0
"3078 CLAIRMONT RD NE","BROOKHAVEN","30329","089","13089021414",2,3,1,0,0,0,0,1,1,0,1,0,3,9,4,0,5,4,8,3,7,5,0,1,0,6,2,5,5,4,6,0,0,18,5,8,10,1,2,7,6,5,14,5,6,6,4,4,0
"3110 LUMBY DR","DECATUR","30034","089","13089023410",7,7,8,0,0,0,0,0,1,0,1,5,0,4,3,0,0,0,0,0,8,5,7,0,8,5,5,0,4,3,3,5,5,10,6,7,7,5,6,1,8,3,14,18,12,7,8,12,0
"1760 LAKES PKWY","LAWRENCEVILLE","30043","135","13135050511",5,3,1,0,0,0,0,0,1,5,1,0,3,1,0,0,2,2,2,5,5,4,2,1,7,5,4,9,7,7,8,5,6,2,7,4,4,2,0,8,4,6,9,3,7,11,6,5,0
"2158 CUMBERLAND PKWY SE","ATLANTA","30339","067","13067031211",11,7,1,0,0,0,0,6,1,7,3,6,6,5,4,3,4,3,2,2,4,2,0,2,4,1,0,3,0,0,4,3,4,5,0,5,3,6,2,3,5,0,0,10,4,8,5,7,0
"2600 BENTLEY RD SE","MARIETTA","30067","067","13067030413",0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,1,3,7,12,4,3,0,7,2,9,7,1,4,2,10,3,2,12,5,1,5,5,0,0,3,6,0,18,7,9,12,0
"3800 FLAT SHOALS PKWY","DECATUR","30034","089","13089023421",13,18,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,1,0,0,0,0,9,0,11,0,17,0,0,23,0,0,0,0,0,16,34,2,2,0,17,0,0,6,8,11,12,0,0
"790 DIXON RD","JONESBORO","30238","063","13063040612",5,3,1,0,0,0,0,1,4,1,0,1,2,5,2,1,2,2,3,8,2,3,4,4,5,3,4,2,3,6,7,2,10,6,4,3,5,2,1,7,1,8,7,2,8,5,6,5,0
"10911 TARA BLVD","HAMPTON","30228","063","13063040621",6,8,2,0,0,0,0,4,1,0,1,0,6,1,0,0,0,0,0,0,13,10,0,2,8,4,6,8,1,13,0,0,0,4,14,1,7,1,4,0,12,14,11,13,0,15,9,7,0
"1455 SATELLITE BLVD NW","SUWANEE","30024","135","13135050216",6,6,6,0,0,0,0,0,0,3,2,3,2,7,3,1,1,2,1,2,2,1,2,3,3,7,2,2,2,6,3,8,10,6,6,10,15,7,5,8,13,6,6,8,8,6,7,7,0
"2035 IDLEWOOD RD","TUCKER","30084","089","13089021806",4,9,0,0,0,0,0,4,1,1,0,6,6,4,2,6,1,0,1,0,8,4,0,0,5,1,3,4,4,5,5,4,6,7,3,4,9,7,7,6,6,4,4,9,4,7,5,8,0
"2620 N BERKELEY LAKE RD NW","DULUTH","30096","135","13135050209",4,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,4,5,5,7,3,1,7,6,11,7,6,8,5,7,8,11,9,9,9,10,10,11,18,14,0,8,6,0
"2370 MAIN ST","DULUTH","30097","135","13135050214",5,2,5,0,0,0,0,3,3,2,4,5,7,1,2,2,1,1,2,2,9,5,9,2,3,1,3,3,3,3,7,2,3,0,0,4,0,1,0,5,0,5,4,0,2,4,4,3,0
"3400 WINTERSET PKWY SE","MARIETTA","30067","067","13067030405",0,0,0,0,0,0,0,0,0,5,0,2,0,8,3,0,0,0,6,0,0,16,19,0,1,0,0,0,0,16,6,7,8,3,10,8,10,8,0,0,6,18,10,0,0,0,17,20,0
"1575 RIDENOUR PKWY NW","KENNESAW","30152","067","13067030230",3,3,0,0,0,0,0,0,0,3,6,3,7,1,5,2,0,0,5,0,0,0,0,0,5,13,8,0,3,0,13,6,5,7,9,7,4,4,3,6,7,5,8,9,0,3,4,3,0
"1885 HARPER DR","LAKE CITY","30260","063","13063040408",7,4,3,0,0,0,0,0,4,4,1,6,0,2,1,2,0,6,1,0,0,3,1,3,12,9,3,6,0,10,3,1,3,3,7,1,8,1,9,9,0,17,6,6,3,4,4,2,0
"4306 N SHALLOWFORD RD","ATLANTA","30341","089","13089021202",7,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,3,3,2,4,5,2,5,3,9,1,3,5,9,8,8,5,6,4,0,10,10,10,0,19,0,0,10,3,8,7,12,0
"707 FRANKLIN GTWY SE","MARIETTA","30067","067","13067030411",1,14,6,0,0,0,0,0,0,4,1,9,0,2,7,0,0,0,1,1,0,1,1,8,1,3,0,4,9,3,6,7,4,5,3,0,3,4,1,1,5,0,1,5,3,3,2,3,0
"3665 LAWRENCEVILLE HWY","TUCKER","30084","089","13089021805",5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,6,8,4,5,2,2,2,2,3,5,11,7,4,8,4,6,4,8,4,7,6,3,4,5,2,5,6,1,0
"510 GUTHRIDGE CT NW","PEACHTREE CORNERS","30092","135","13135050310",2,3,4,0,0,0,0,0,0,8,2,3,5,2,4,2,1,3,2,3,7,2,2,5,0,6,5,3,0,0,8,6,3,6,3,8,6,3,1,1,0,2,4,1,1,3,2,1,0
"5915 TRAMMELL RD","MORROW","30260","063","13063040408",2,12,4,0,0,0,0,0,0,1,4,2,0,0,1,0,0,2,2,0,3,2,2,0,1,0,1,3,7,5,10,15,0,17,17,16,0,16,0,15,0,21,14,9,0,14,12,10,0
"595 RIVERSIDE PKWY","AUSTELL","30168","067","13067031310",14,5,3,2,0,0,0,0,8,1,4,2,0,0,6,2,4,1,0,2,0,3,0,0,0,0,0,0,1,11,0,3,23,1,8,0,19,6,15,0,0,0,0,1,0,0,1,0,0
"156 BETHESDA CHURCH RD","LAWRENCEVILLE","30044","135","13135050531",5,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,10,7,8,4,6,0,13,10,8,12,8,9,10,10,7,7,7,5,8,8,13,7,7,11,0
"360 RIVERSIDE PKWY","AUSTELL","30168","067","99999999999",16,3,4,0,0,0,0,0,0,0,0,1,0,0,16,2,0,0,1,3,0,1,0,0,0,0,0,0,0,7,0,0,22,19,13,14,28,14,14,6,0,0,0,0,0,0,0,0,0
"4371 WINTERS CHAPEL RD","ATLANTA","30360","089","13089021306",18,9,9,0,0,0,0,0,14,0,0,3,0,0,0,0,0,2,5,2,1,0,0,0,1,3,0,1,0,0,8,1,18,0,0,16,15,8,5,0,0,1,10,0,0,18,0,0,0
"2789 SATELLITE BLVD","DULUTH","30096","135","13135050215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,2,7,3,5,6,8,3,9,8,6,9,4,5,10,6,0,6,0,0,3,8,6,0,13,1,2,3,3,0
"5193 PEACHTREE BLVD","ATLANTA","30341","089","13089021208",0,5,3,0,0,0,0,3,0,4,11,1,4,4,1,2,1,6,2,2,1,4,4,0,3,3,0,6,1,0,4,8,0,11,2,4,4,4,3,0,2,0,5,3,3,4,3,0,0
"5470 RIVERDALE RD","COLLEGE PARK","30349","063","13063040202",3,9,0,0,0,0,0,0,8,2,14,5,1,0,1,2,0,0,6,2,6,2,0,2,1,3,0,0,11,6,0,0,9,1,0,10,1,0,13,7,0,0,0,0,0,6,0,1,0
"5070 PEACHTREE BLVD","CHAMBLEE","30341","089","13089021209",1,2,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,13,7,5,6,3,5,7,6,5,9,0,9,8,6,5,6,7,9,10,8,12,6,0,6,3,10,9,0
"6071 HIGHWAY 85","RIVERDALE","30274","063","13063040519",7,2,1,0,0,0,0,0,4,0,5,1,1,3,1,0,0,8,0,5,4,7,1,3,3,7,4,1,9,1,6,3,4,2,1,2,9,2,8,0,5,5,1,8,1,3,8,0,0
"2245 INTERSTATE NORTH PKWY W","ATLANTA","30339","067","13067030345",3,5,0,0,0,0,0,0,0,0,0,0,0,10,0,11,1,1,6,3,3,7,6,4,5,4,1,2,5,0,11,4,0,0,8,4,5,6,8,4,3,9,12,6,7,8,10,8,0
"3024 HIDDEN FOREST CT","MARIETTA","30066","067","13067030228",5,5,2,0,0,0,0,2,1,2,3,2,4,2,2,3,3,3,0,5,4,0,2,3,6,2,3,4,3,4,3,6,4,4,4,8,7,3,5,1,2,2,5,2,3,1,1,2,0
"4241 HENDRIX DR","FORREST PARK","30297","063","13063040302",9,10,5,0,0,0,0,0,0,2,1,2,0,0,10,3,0,1,15,0,0,0,9,5,0,7,4,2,0,0,0,0,6,1,1,9,5,2,0,1,0,0,16,2,1,8,5,2,0
"1110 BALLPARK LN","LAWRENCEVILLE","30043","135","13135050208",4,7,3,0,0,0,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0,11,2,1,4,5,3,4,5,5,9,9,4,7,5,5,5,5,4,7,2,6,6,10,7,6,9,10,0
"1818 WOOD HOLLOW CT","MARIETTA","30067","067","13067030344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,13,3,8,6,0,10,12,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239 NEW HOPE RD","LAWRENCEVILLE","30046","135","13135050522",3,4,0,0,0,0,0,0,0,0,0,1,1,3,9,5,0,0,0,0,0,0,4,0,4,9,5,6,6,6,9,4,11,1,0,1,4,1,2,3,2,5,3,0,3,2,2,6,0
"1525 STATION CENTER BLVD","SUWANEE","30024","135","13135050210",4,5,1,0,0,0,0,1,1,2,3,2,0,4,3,2,0,3,5,6,1,5,2,8,5,2,2,3,5,3,2,5,0,5,7,0,0,1,0,6,4,4,4,6,2,7,2,2,0
"4725 N COBB PKWY NW","ACWORTH","30101","067","13067030101",8,0,5,0,0,0,9,7,0,0,0,0,0,0,0,0,0,7,0,2,0,2,6,5,3,0,4,5,6,7,3,6,5,0,8,4,0,13,2,5,11,4,5,8,8,4,5,6,0
"3384 MT ZION RD","STOCKBRIDGE","30281","063","13063040616",7,4,5,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,2,4,7,8,5,4,0,0,0,8,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
"3890 E PONCE DE LEON AVE","CLARKSTON","30021","089","13089022007",5,4,4,0,4,0,0,4,0,0,6,0,4,0,0,0,0,2,3,11,4,3,0,3,0,11,1,0,7,2,5,3,1,2,2,4,5,5,2,0,6,4,2,3,5,4,8,5,0
"8 PERIMETER CTR E","ATLANTA","30346","089","13089021216",3,2,2,0,0,0,0,0,0,0,0,0,1,2,3,2,1,2,0,1,1,2,11,8,6,5,3,8,5,4,5,4,2,6,1,3,3,7,4,2,3,3,6,5,6,2,2,5,0
"2190 NORTHLAKE PKWY","TUCKER","30084","089","13089021810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,5,2,4,12,11,9,0,16,12,5,6,14,6,7,9,6,11,5,4,4,9,3,6,5,0
"3340 CUMBERLAND BLVD SE","ATLANTA","30339","067","13067031207",3,2,3,0,0,0,0,0,0,0,2,2,0,0,1,2,2,5,1,5,4,4,1,3,5,6,1,7,2,6,4,6,5,6,2,2,1,5,3,1,0,3,3,1,0,2,5,2,0
"5850 HILLANDALE DR","LITHONIA","30058","089","13089023310",0,2,1,0,0,1,0,0,1,0,0,7,0,2,0,5,7,4,6,3,3,3,10,3,5,2,3,1,4,3,1,3,5,2,4,0,8,6,4,0,14,6,8,2,0,16,7,6,0
"6250 RIVERVIEW RD SE","MABLETON","30126","067","13067031313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,13,8,7,9,12,9,14,8,5,14,7,8,12,12,7,13,12,7,12,14,13,0
"1564 HERRINGTON RD","LAWRENCEVILLE","30043","135","13135050511",1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,5,1,5,6,12,6,2,5,4,6,5,5,5,5,4,4,5,3,0,3,2,0,7,2,6,5,3,6,0
"2550 BLACKMON DR","DECATUR","30033","089","13089022301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,15,0,0,0,0,3,27,6,5,5,8,7,2,5,0,0,13,9,0,12,0,5,6,3,3,1,3,10,0
"2735 PACES FERRY RD SE","ATLANTA","30339","067","13067031207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,4,3,9,10,5,5,6,4,12,10,6,6,0,10,6,7,0,0,0,4,6,1,0,1,8,5,0
"1425 RIDENOUR BLVD NW","KENNESAW","30152","067","13067030230",5,3,1,0,0,0,0,0,0,4,3,2,2,5,0,1,2,1,7,3,0,1,3,0,11,4,6,1,5,4,5,1,5,0,3,3,6,6,3,1,4,2,7,2,3,7,7,1,0
"16 BEECH RD SE","MARIETTA","30008","067","13067030902",5,6,5,0,0,0,0,0,7,0,0,1,3,2,0,1,1,0,3,2,2,2,3,2,16,0,3,2,2,0,2,4,7,4,3,3,2,2,8,3,2,4,1,6,1,2,0,2,0
"1625 ROSWELL RD","MARIETTA","30062","067","13067030505",4,7,0,0,0,0,0,0,0,4,3,2,0,0,3,0,5,0,3,0,6,0,1,2,4,3,3,9,0,0,6,11,2,7,4,2,12,7,2,8,1,0,4,5,10,7,5,2,0
"507 GEORGIA AVE","FOREST PARK","30297","063","13063040308",0,19,0,0,0,0,13,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,15,3,10,3,0,0,10,5,9,0,0,12,1,3,0,0,0,0,0,6,0
"7878 N MAIN ST","JONESBORO","30236","063","13063040611",10,8,1,0,0,0,0,0,0,3,3,0,2,3,4,1,0,2,5,4,1,6,2,3,4,0,0,0,7,0,0,6,6,4,0,2,6,0,1,6,2,19,12,8,5,3,3,3,0
"100 CASTOR DR","NORCROSS","30071","135","13135050313",0,6,4,0,0,0,0,0,0,3,0,5,0,3,0,8,0,0,0,0,0,0,3,0,0,0,2,5,4,11,11,5,6,8,0,0,0,30,1,1,0,3,5,3,2,11,23,1,0
"2931 PANTHERSVILLE RD","DECATUR","30034","089","13089023410",2,0,2,0,0,0,0,0,0,11,0,5,2,0,0,3,8,3,0,0,0,3,16,0,0,1,7,7,2,6,1,1,0,3,4,2,4,0,0,1,0,2,0,1,3,1,3,0,0
"1395 CUNNINGHAM RD SW","MARIETTA","30008","067","13067030904",4,10,4,0,0,0,0,0,4,0,6,0,0,0,3,0,1,6,7,5,0,3,1,2,5,6,1,2,2,4,2,3,0,2,13,6,10,2,0,2,0,7,0,0,6,2,0,0,0
"2700 E COLLEGE AVE","DECATUR","30030","089","13089022900",3,0,1,0,0,0,0,1,4,0,2,4,1,4,3,1,0,5,0,7,7,4,4,3,4,7,0,0,4,2,4,0,2,6,0,1,5,2,1,0,8,0,8,2,4,5,2,4,0
"6170 HILLANDALE DR","LITHONIA","30058","089","13089023310",12,11,3,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,3,8,1,5,0,0,17,7,3,3,3,0,8,6,7,1,3,2,5,4,5,1,0,9,0
"1399 HERRINGTON RD","LAWRENCEVILLE","30044","135","13135050537",0,0,0,0,0,0,0,0,1,3,2,5,2,0,6,1,0,1,0,2,0,0,5,2,3,6,4,9,5,5,4,8,5,3,5,4,0,5,18,9,2,8,8,6,9,10,3,9,0
"1365 OLD CONLEY RD","CONLEY","30288","063","13063040303",7,5,0,0,0,0,5,0,1,1,4,1,5,2,2,3,0,0,0,0,0,0,0,0,1,0,12,3,9,3,1,7,0,9,2,4,4,2,2,2,0,3,2,2,7,1,3,0,0
"2425 CANDLER RD","DECATUR","30032","089","13089023603",2,2,5,0,0,0,0,0,2,2,2,3,0,4,7,0,3,2,1,0,5,1,6,0,0,10,0,0,9,5,5,4,1,0,10,0,0,10,2,6,2,2,3,5,3,1,3,0,0
"5159 W MOUNTAIN ST","STONE MOUNTAIN","30083","089","13089021906",13,11,7,0,0,0,0,0,6,0,1,0,0,0,0,0,2,6,0,0,0,4,0,0,1,1,1,6,6,7,5,0,4,0,0,0,11,2,3,4,7,2,5,8,3,4,2,2,0
"1950 BARRETT LAKES BLVD NW","KENNESAW","30144","067","13067030601",12,9,6,0,0,0,0,0,1,2,0,3,4,0,0,1,1,2,1,0,0,0,1,0,0,7,6,0,2,0,0,15,2,5,6,7,6,0,7,7,5,4,9,0,6,6,5,3,0
"925 WHITLOCK AVE NW","MARIETTA","30064","067","13067030901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,5,5,10,6,8,13,12,11,7,12,7,10,6,9,9,7,16,13,13,6,9,0
"2145 E WEST CONNECTOR","AUSTELL","30106","067","13067031406",4,7,3,0,0,0,0,0,3,1,4,3,5,1,2,2,5,0,2,7,2,6,4,2,4,2,1,1,5,0,0,0,0,3,0,2,9,5,2,3,2,5,2,3,4,4,5,3,0
"400 ASHLEY PL","STONE MOUNTAIN","30083","089","13089021909",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,9,22,7,18,24,16,11,0,13,24,7,24,0,1,0,0,0
"4650 E PONCE DE LEON AVE","CLARKSTON","30021","089","13089022009",7,2,3,0,0,8,0,4,0,0,0,0,0,1,1,3,1,2,0,6,0,0,6,0,0,3,6,0,1,5,8,6,2,3,2,7,10,6,0,3,3,0,2,0,3,2,0,7,0
