Country,Region,Year,Alcohol_consumption,BMI,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy
Belarus,Rest of Europe,2010,14.43,26.3,5622,9.48,12,0,70.4
Jamaica,Central America and Caribbean,2000,3.77,25.5,4841,2.65,7.3,0,74.1
Rwanda,Africa,2006,8.79,21.4,488,9.04,2.9,0,57.1
Tajikistan,Asia,2003,0.74,24.4,556,6.54,10.6,0,64.5
Tonga,Oceania,2011,0.93,31.9,4043,0.1,10.9,0,70.1
"Congo, Rep.",Africa,2013,1.9,23,2499,4.62,6.3,0,62
Myanmar,Asia,2014,1.36,22.5,1168,52.28,4.8,0,65.4
"Micronesia, Fed. Sts.",Oceania,2002,2.79,28.9,2984,0.11,5.3,0,64.9
Seychelles,Africa,2015,8.7,26.6,15158,0.09,9.5,0,74.3
Bhutan,Asia,2011,0.25,23.4,2387,0.69,2.3,0,68.8
Solomon Islands,Oceania,2010,1.09,25.8,2099,0.53,5.1,0,70.7
Senegal,Africa,2002,0.22,22.3,1061,10.28,2.4,0,58.7
Thailand,Asia,2001,5.84,23,3605,63.54,6.3,0,70.8
Netherlands,European Union,2015,8.3,25.5,45193,16.94,12.1,1,81.5
Portugal,European Union,2014,10.2,25.7,18833,10.4,8.9,1,81.1
"Yemen, Rep.",Middle East,2004,0.06,22.7,2472,19.54,1.7,0,62.9
Suriname,South America,2014,5.39,26.4,9593,0.55,8.2,0,71.1
Guinea-Bissau,Africa,2011,3.19,23.1,617,1.56,2.7,0,55.1
Zambia,Africa,2008,2.66,22,1068,12.85,6.5,0,52.6
"Gambia, The",Africa,2003,3.63,22.4,724,1.45,2.2,0,57.2
United Arab Emirates,Middle East,2011,1.75,28.1,33246,8.95,10,0,76.5
Burundi,Africa,2015,3.99,21.6,306,10.16,2.9,0,60.1
United Arab Emirates,Middle East,2009,1.76,27.9,34580,7.92,9.7,0,76.1
Hungary,European Union,2008,11.75,26.6,11937,10.04,11.5,1,73.7
Malawi,Africa,2013,2.02,22.7,370,15.84,4.4,0,59.9
Eritrea,Africa,2000,0.88,20.1,828,2.29,3.7,0,55.3
Italy,European Union,2012,7.48,25.7,31185,59.54,9.9,1,82.2
Oman,Middle East,2011,0.5,26,19868,3.25,8.3,0,75.9
Nepal,Asia,2006,0.19,21.3,629,26.07,2.9,0,65.8
Serbia,Rest of Europe,2009,9.78,25.7,5148,7.32,10.4,0,74
France,European Union,2013,11.73,25,36205,66,11.2,1,82.2
Greece,European Union,2010,8.33,27.1,21560,11.12,10.3,1,80.4
Guyana,South America,2003,8.75,25,3966,0.75,7.8,0,66.1
Nigeria,Africa,2009,10.58,22.9,2286,154.32,5.2,0,50.4
Bolivia,South America,2011,3.3,26,2603,10.21,8,0,68.5
Australia,Oceania,2010,10.52,26.9,53543,22.03,12.4,1,81.7
Jordan,Middle East,2009,0.56,28.5,4782,6.89,9.9,0,73.3
Timor-Leste,Oceania,2010,0.1,20.7,1186,1.09,4.4,0,67.2
Timor-Leste,Oceania,2003,0.44,20.1,934,0.95,3,0,61.9
Paraguay,South America,2014,5.39,26.5,5329,6.6,8.2,0,73.5
Suriname,South America,2002,4.58,25.6,6488,0.48,7.7,0,68.1
China,Asia,2011,5.36,23.3,6153,1345.04,7.4,0,74.7
Serbia,Rest of Europe,2012,8.78,25.9,5344,7.2,10.5,0,74.8
"Yemen, Rep.",Middle East,2013,0.04,23.5,2348,25.15,3,0,66
Mozambique,Africa,2015,1.22,22.7,590,27.04,3.5,0,57.2
Poland,European Union,2002,8.02,25.5,7607,38.23,11.4,1,74.5
Bulgaria,European Union,2015,10.89,26.4,7075,7.18,11.8,1,74.6
China,Asia,2005,2.92,22.8,3391,1303.72,6.9,0,73
France,European Union,2006,13.05,25,35826,63.62,10.6,1,80.8
Czechia,European Union,2008,13.65,26.7,17047,10.38,12.2,1,77
Sierra Leone,Africa,2015,3.06,22.7,588,7.17,3.4,0,52.9
Qatar,Middle East,2013,1.03,28.8,62733,2.34,9.9,0,79.5
Burkina Faso,Africa,2013,5.49,22,639,17.07,1.4,0,58.9
Sao Tome and Principe,Central America and Caribbean,2002,5.93,23.7,1087,0.15,4.3,0,62.7
Mauritius,Africa,2007,3.23,24.9,6939,1.24,7.6,0,72.6
Kazakhstan,Asia,2014,3.64,26.3,10539,17.29,11.7,0,71.4
Argentina,South America,2012,8,27.3,13896,41.73,9.8,0,75.6
Ireland,European Union,2001,14.04,26.4,43139,3.87,11,1,77.1
"Congo, Rep.",Africa,2014,1.9,23.1,2603,4.74,6.3,0,62.6
Guinea,Africa,2010,0.2,22.6,689,10.19,1.6,0,56.9
Tonga,Oceania,2001,1.34,31.3,3790,0.1,9.1,0,69.7
Rwanda,Africa,2009,7.3,21.6,573,9.78,3.3,0,62.1
Mongolia,Asia,2005,5.17,24.8,2068,2.53,8.6,0,65.1
Seychelles,Africa,2001,6.84,25.5,10915,0.08,7.5,0,73.3
Syrian Arab Republic,Middle East,2005,0.79,27.3,1532,18.36,5.8,0,74.4
Latvia,European Union,2002,7.44,25.7,7849,2.31,10.6,1,71
France,European Union,2005,12.88,25,35214,63.18,10.4,1,80.2
Syrian Arab Republic,Middle East,2015,0.23,28.2,979,18,5.1,0,69.9
Indonesia,Asia,2006,0.062,22.2,2289,229.32,7.9,0,67.7
United Arab Emirates,Middle East,2013,1.86,28.2,35496,9.2,10.3,0,76.9
Burkina Faso,Africa,2010,5.44,21.8,582,15.61,1.4,0,57.1
Haiti,Central America and Caribbean,2005,3.49,23.9,1284,9.2,4.3,0,58.7
Mali,Africa,2008,0.58,22.4,707,14.11,1.9,0,54.2
Cambodia,Asia,2013,2.8,21.9,1048,15.03,4.6,0,67.9
Eswatini,Africa,2000,6.8,25.5,2472,1.01,3.9,0,47.5
Kyrgyz Republic,Asia,2009,5.98,25.7,982,5.38,10.4,0,69.1
Grenada,Central America and Caribbean,2000,9.21,25.3,6977,0.1,7.4,0,72.6
Guyana,South America,2008,5.83,25.6,4512,0.75,8,0,67.5
"Micronesia, Fed. Sts.",Oceania,2009,2.05,29.3,3015,0.1,7,0,66.3
Barbados,Central America and Caribbean,2011,8.69,27.4,16619,0.28,9.9,0,78.5
Kiribati,Oceania,2003,0.44,29,1541,0.09,7.1,0,64
Bahrain,Middle East,2007,1.83,25.1,22112,1.04,8.4,0,75.6
Colombia,South America,2006,4.43,25.4,4638,43.2,6.7,0,74.5
Germany,European Union,2012,11.32,26.4,40069,80.43,14,1,80.5
Fiji,Oceania,2000,2.46,26.3,4107,0.81,9.6,0,65.7
India,Asia,2014,3,21.7,1503,1295.6,6.1,0,68.3
"Venezuela, RB",South America,2004,7.58,26.4,4326,26,7.2,0,72.7
Belgium,European Union,2006,10.94,25.8,39148,10.55,11.1,1,79.4
Slovak Republic,European Union,2014,10.26,26.3,15547,5.42,12.3,1,76.8
Antigua and Barbuda,Central America and Caribbean,2007,8.11,25.8,18062,0.08,9.2,0,75.4
El Salvador,Central America and Caribbean,2015,2.54,27.6,3706,6.33,6.6,0,72.4
Panama,Central America and Caribbean,2015,6.84,26.8,13630,3.97,9.9,0,77.8
Bulgaria,European Union,2010,9.82,26,6428,7.4,10.6,1,73.5
Mozambique,Africa,2013,1,22.5,544,25.56,3.4,0,54.9
Croatia,European Union,2005,10.72,26.1,11400,4.31,9.7,1,75.2
Libya,Africa,2004,0.012,27.1,11583,5.71,6.3,0,71.7
Bolivia,South America,2000,2.3,24.7,2059,8.42,7.4,0,62.5
Maldives,Asia,2003,1.95,23.5,7553,0.3,3.3,0,72.4
Vanuatu,Oceania,2005,0.89,25.7,2622,0.21,6.5,0,68.4
Eswatini,Africa,2014,7.28,26.7,3630,1.1,6.5,0,53.6
Iraq,Middle East,2000,0.22,27,4337,23.5,5,0,69.1
Liberia,Africa,2002,4.29,23.2,780,3.02,3.6,0,52.8
Guinea-Bissau,Africa,2013,2.95,23.2,593,1.65,2.8,0,56.1
Cote d'Ivoire,Africa,2011,1.14,23.5,1559,21.03,4.4,0,53.6
Haiti,Central America and Caribbean,2009,3.53,24.5,1396,9.8,4.7,0,60.1
Togo,Africa,2002,0.86,22.2,501,5.2,4.1,0,53.7
"Bahamas, The",Central America and Caribbean,2008,9.65,27.4,34229,0.34,10.9,0,72
Nicaragua,Central America and Caribbean,2011,3.34,26.8,1761,5.9,6.1,0,72.7
Trinidad and Tobago,Central America and Caribbean,2011,5.79,27.1,18026,1.34,10.8,0,72.2
Samoa,Oceania,2009,2.88,31.4,4012,0.18,9.9,0,71.4
Djibouti,Africa,2004,0.51,23.7,863,0.77,3.6,0,57.7
Zimbabwe,Africa,2008,2.82,23.6,850,12.38,7,0,46.5
Liberia,Africa,2009,3.76,23.7,634,3.75,4,0,59
Jordan,Middle East,2015,0.3,28.9,4164,9.27,10.3,0,74.1
Latvia,European Union,2008,11.84,26.2,12893,2.18,12.2,1,72.4
Bangladesh,Asia,2001,0.004,20.3,674,130.09,4.3,0,66
Moldova,Rest of Europe,2007,7.81,26.4,2069,2.87,10.9,0,68.3
Grenada,Central America and Caribbean,2010,7.71,26.4,8058,0.11,8.3,0,72.9
Tanzania,Africa,2015,7.86,23.1,948,51.48,5.8,0,63.1
Kuwait,Middle East,2014,0,29.4,30857,3.69,6.9,0,75
Gabon,Africa,2015,8.06,25.2,7385,1.95,8.1,0,64.9
Mozambique,Africa,2002,0.66,21.7,341,18.76,2.5,0,49.6
Senegal,Africa,2000,0.24,22.1,1067,9.8,1.9,0,57.8
Armenia,Rest of Europe,2011,4.07,26.1,3099,2.88,11.2,0,73.6
Belgium,European Union,2001,11.01,25.5,35943,10.29,10.2,1,78
Cyprus,European Union,2011,10.71,26.8,25466,1.12,11.6,1,79.6
Lebanon,Middle East,2005,1.73,26.7,6668,4.7,7.5,0,76.9
Ireland,European Union,2005,13.06,26.8,49382,4.16,11.7,1,78.9
Tunisia,Africa,2002,1.15,25.3,2980,9.87,5.2,0,73.6
Zimbabwe,Africa,2001,1.93,23.3,1715,11.92,6.7,0,44
Azerbaijan,Asia,2015,0.51,26.9,5500,9.65,10.7,0,72.3
Sao Tome and Principe,Central America and Caribbean,2003,6.7,23.8,1136,0.15,4.4,0,63.4
Nigeria,Africa,2015,4.51,23.2,2687,181.14,6,0,53.1
Thailand,Asia,2015,6.95,24.3,5840,68.71,7.6,0,76.1
Albania,Rest of Europe,2006,5.17,25.7,2851,2.99,9.2,0,75.4
Romania,European Union,2014,9.48,26.6,8671,19.91,10.9,1,74.9
Equatorial Guinea,Africa,2007,8.31,23.3,14620,0.82,5.4,0,54.8
Brunei Darussalam,Asia,2000,0.35,25.3,34064,0.33,8.3,0,73.1
Eswatini,Africa,2006,6.26,26,3060,1.04,5.1,0,42.7
"Egypt, Arab Rep.",Africa,2005,0.15,28.2,2830,75.52,5.6,0,69.4
Zambia,Africa,2013,2.98,22.4,1321,14.93,6.8,0,59.7
Kenya,Africa,2003,1.5,22.2,1135,34.68,5.6,0,52.4
Haiti,Central America and Caribbean,2014,2.69,25.1,1371,10.55,5.1,0,62.1
Rwanda,Africa,2012,6.43,21.8,669,10.55,3.7,0,65.4
Iceland,Rest of Europe,2013,6.8,26.1,50947,0.32,11.9,1,82.1
Sierra Leone,Africa,2008,3.83,22.5,516,6.13,2.9,0,47.5
Qatar,Middle East,2014,1.01,29,62785,2.46,9.8,0,79.6
Switzerland,Rest of Europe,2011,9.99,25.1,82678,7.91,13.3,1,82.7
Kenya,Africa,2006,0.86,22.5,1239,37.65,5.9,0,56.1
Mongolia,Asia,2015,8.35,26.1,3875,3,10.1,0,69.1
Central African Republic,Africa,2005,1.57,22,455,4.04,3.3,0,44.7
Grenada,Central America and Caribbean,2003,9.89,25.7,7653,0.1,7.6,0,73
Gabon,Africa,2002,8.29,23.9,7662,1.29,6.5,0,57.8
Mauritania,Africa,2003,0.004,24,1283,2.86,3.2,0,61
Portugal,European Union,2015,10.34,25.7,19250,10.36,9.1,1,81.1
Myanmar,Asia,2008,0.79,21.9,753,49.93,3.9,0,62.7
Algeria,Africa,2012,0.43,25.2,4012,37.38,7.6,0,75.4
Tanzania,Africa,2011,7.09,22.9,845,45.67,5.1,0,59.5
Colombia,South America,2011,4.3,25.8,5468,45.66,7.5,0,75.7
Tanzania,Africa,2005,5.74,22.5,692,38.45,4.8,0,54.3
Comoros,Africa,2012,0.11,24,1237,0.72,4.6,0,62.6
Togo,Africa,2014,1.25,23.4,554,7.14,4.7,0,59.6
Ireland,European Union,2009,10.93,27.1,45386,4.54,12.1,1,80.2
Jordan,Middle East,2002,0.51,28,3849,5.32,9.6,0,72.1
Netherlands,European Union,2013,8.59,25.5,44055,16.8,12.1,1,81.3
Cyprus,European Union,2001,10.16,26.3,23018,0.96,10.1,1,78.1
Belgium,European Union,2007,13.43,25.8,40290,10.63,11.1,1,79.8
Lithuania,European Union,2000,9.87,26,6423,3.5,10.7,1,72
Liberia,Africa,2013,3.74,24,754,4.25,4.4,0,61.2
Ukraine,Rest of Europe,2011,8.74,26.3,2450,45.71,11.3,0,70.8
"Gambia, The",Africa,2002,3.37,22.3,700,1.4,2.1,0,56.8
Suriname,South America,2007,4.69,25.9,8204,0.51,7.7,0,69.6
Slovenia,European Union,2011,10.61,26.2,20747,2.05,12.2,1,80
Brazil,South America,2003,6.84,25.1,6896,181.81,6.2,0,71.2
Somalia,Africa,2009,0,22.7,280,11.72,2.1,0,53.7
Guinea,Africa,2006,0.15,22.3,655,9.31,1.6,0,54.1
Sao Tome and Principe,Central America and Caribbean,2012,5.65,24.6,1446,0.19,5.1,0,68.3
New Zealand,Oceania,2013,9.12,27.8,37219,4.44,12.1,1,81.4
Saudi Arabia,Middle East,2003,0.057,27.7,17385,22.46,7.1,0,73.1
Guinea-Bissau,Africa,2007,3.22,22.8,566,1.41,2.3,0,53.1
Canada,North America,2012,8.3,26.9,42316,34.71,12.8,1,81.6
Maldives,Asia,2015,1.26,25.3,9033,0.45,6.3,0,77.7
Lesotho,Africa,2014,2.75,24.9,1120,2.04,6.1,0,49.9
Comoros,Africa,2015,0.14,24.3,1243,0.78,4.8,0,63.5
Trinidad and Tobago,Central America and Caribbean,2015,5.97,27.5,18384,1.37,10.8,0,72.9
Mauritania,Africa,2006,0.011,24.3,1585,3.11,3.4,0,61.6
Burundi,Africa,2008,4.8,21.2,306,8.13,2.5,0,55.7
United Arab Emirates,Middle East,2015,2.12,28.4,38663,9.26,10.6,0,77.3
Latvia,European Union,2009,9.85,26.2,11240,2.14,12.3,1,73.1
Timor-Leste,Oceania,2009,0.085,20.6,1104,1.07,4.4,0,66.8
Sri Lanka,Asia,2002,1.62,21.7,1939,19.06,10.2,0,73.1
Brazil,South America,2008,6.83,25.6,8259,192.03,6.7,0,73
Moldova,Rest of Europe,2006,7.94,26.4,2004,2.88,10.6,0,68
Costa Rica,Central America and Caribbean,2012,3.17,27,10945,4.69,8.5,0,79.1
Slovak Republic,European Union,2008,11.87,25.9,14488,5.38,11.2,1,74.7
Slovenia,European Union,2002,9.87,25.5,17302,1.99,11.5,1,76
Costa Rica,Central America and Caribbean,2007,4.25,26.5,9725,4.4,8.1,0,78.4
Libya,Africa,2007,0.007,27.4,14010,5.97,6.8,0,72.2
Mexico,North America,2007,4.24,27.3,9214,109.17,8,0,75.3
Papua New Guinea,Oceania,2009,0.78,24.9,2077,7.14,3.9,0,61.7
Peru,South America,2001,4.09,25.1,3282,26.8,8.1,0,71.5
Latvia,European Union,2013,10.43,26.5,12796,2.01,12.7,1,74
Uzbekistan,Asia,2006,1.81,25.5,1656,26.49,9.9,0,68.7
Slovenia,European Union,2012,10.95,26.2,20157,2.06,11.7,1,80.1
Lao PDR,Asia,2004,3.54,21.5,1112,5.66,4.2,0,61.1
Uzbekistan,Asia,2005,1.76,25.3,1560,26.17,9.8,0,68.4
Malaysia,Asia,2010,0.52,25,8248,28.21,9.8,0,74.5
Portugal,European Union,2011,10.86,25.8,19365,10.56,8.3,1,80.5
Honduras,Central America and Caribbean,2003,2.87,25.2,1846,7.11,4.6,0,71.5
Samoa,Oceania,2007,3.85,31.2,3949,0.18,9.7,0,70.9
Algeria,Africa,2011,0.4,25.1,3957,36.66,7.4,0,75.2
Burkina Faso,Africa,2009,5.52,21.7,554,15.14,1.4,0,56.4
Guinea-Bissau,Africa,2001,2.75,22.2,578,1.23,2.3,0,50.7
Philippines,Asia,2010,4.73,22.7,2433,93.97,8.9,0,69.8
France,European Union,2001,14.15,24.9,34015,61.36,10,1,79.2
Malawi,Africa,2010,1.69,22.5,359,14.54,4.3,0,55.6
Antigua and Barbuda,Central America and Caribbean,2003,6.91,25.4,13793,0.08,9,0,74.6
Grenada,Central America and Caribbean,2002,10.99,25.5,7016,0.1,7.4,0,72.9
"Congo, Rep.",Africa,2002,0.9,22.2,2115,3.31,5.7,0,53.1
Tajikistan,Asia,2002,0.8,24.3,510,6.43,10.6,0,63.7
Angola,Africa,2012,7.83,23,3128,25.11,4.8,0,57.2
Jordan,Middle East,2004,0.5,28.1,4148,5.58,9.7,0,72.4
Cuba,Central America and Caribbean,2012,4.33,25.4,7138,11.26,10.8,0,78.4
South Africa,Africa,2012,7.22,27.1,6232,52.83,9.8,0,60.1
Israel,Middle East,2005,2.46,26.6,28810,6.93,12.3,1,80.2
Portugal,European Union,2004,12.26,25.7,19110,10.48,7.4,1,77.7
Iceland,Rest of Europe,2014,7.01,26.2,51233,0.33,12.2,1,82.9
Seychelles,Africa,2005,6.6,25.8,10790,0.08,7.7,0,72.1
"Gambia, The",Africa,2008,2.98,23.1,708,1.69,2.6,0,59
Libya,Africa,2002,0.002,27,10129,5.53,5.9,0,71.2
"Congo, Dem. Rep.",Africa,2006,2.68,21.2,371,56.58,4.5,0,54.4
Cabo Verde,Africa,2014,4.31,24.4,3050,0.52,5.8,0,71.9
Ukraine,Rest of Europe,2000,6.95,25.7,1420,49.18,10.7,0,67.7
Djibouti,Africa,2006,1.03,23.7,968,0.79,3.8,0,58.3
Germany,European Union,2000,12.91,25.8,34490,82.21,11.2,1,77.9
Kenya,Africa,2013,1.53,23.1,1397,45.52,6.3,0,63.4
Bolivia,South America,2008,3.51,25.6,2415,9.72,7.6,0,66.9
Uganda,Africa,2015,7.44,22.4,847,38.23,5.7,0,61.4
Latvia,European Union,2004,8.81,25.9,9407,2.26,11.7,1,72
Romania,European Union,2004,11.77,25.3,5981,21.45,9.9,1,71.6
Cambodia,Asia,2004,0.9,21,625,13.07,3.5,0,62.2
Bahrain,Middle East,2000,1.97,25.5,23244,0.66,8.3,0,74.4
Uruguay,South America,2010,5.99,26.7,13433,3.36,8.4,0,76.8
Turkiye,Middle East,2007,1.37,27.2,8484,69.58,6.2,0,73.2
South Africa,Africa,2011,7.17,27,6183,52,9.9,0,58.9
Chile,South America,2001,6.1,26.7,8727,15.52,9,0,76.6
Madagascar,Africa,2004,0.8,20.8,463,17.8,5.5,0,60.8
Guatemala,Central America and Caribbean,2014,1.69,26.4,3903,15.31,6.4,0,72.9
"Gambia, The",Africa,2010,2.82,23.4,753,1.79,2.8,0,59.6
United States,North America,2011,8.66,28.6,53395,311.58,13.3,1,78.6
Samoa,Oceania,2012,2.1,31.7,4012,0.19,10.2,0,72.1
Lao PDR,Asia,2007,5.03,21.8,1325,5.94,4.4,0,62.7
Australia,Oceania,2003,9.97,26.5,47997,19.9,11.8,1,80.2
Kenya,Africa,2008,1.32,22.7,1255,39.79,6,0,58.8
Singapore,Asia,2013,1.86,23.6,53300,5.4,11.4,0,82.2
Togo,Africa,2004,1.61,22.5,504,5.47,4.2,0,54.2
Djibouti,Africa,2013,0.36,23.9,2384,0.88,4,0,62.2
Saudi Arabia,Middle East,2000,0.054,27.6,17691,20.66,6.7,0,72.6
Eswatini,Africa,2013,7.36,26.6,3624,1.09,6.3,0,51.7
Eritrea,Africa,2006,1.29,20.4,731,2.92,3.7,0,59.5
Gabon,Africa,2014,8.21,25.1,7350,1.88,8.1,0,64.3
Bangladesh,Asia,2005,4e-04,20.6,769,139.04,4.5,0,67.8
Greece,European Union,2011,7.48,27.1,19401,11.1,10.3,1,80.7
Armenia,Rest of Europe,2006,3.99,25.9,2697,2.96,10.9,0,72.7
Indonesia,Asia,2000,0.063,21.6,1868,211.51,6.7,0,65.8
Pakistan,Asia,2013,0.03,23.7,1290,191.26,4.9,0,66.1
Vietnam,Asia,2007,1.51,20.7,1752,85.42,6.8,0,74.5
United Kingdom,Rest of Europe,2011,9.8,27,42772,63.26,13,1,81
Morocco,Africa,2006,0.48,25.1,2242,30.8,4,0,72.4
Costa Rica,Central America and Caribbean,2010,3.74,26.8,10237,4.58,8.3,0,78.8
Brazil,South America,2002,7.02,25,6905,179.54,6,0,70.8
Hungary,European Union,2013,10.73,27,11710,9.89,12,1,75.6
Albania,Rest of Europe,2000,3.92,25.2,1961,3.09,8.8,0,74
"Congo, Rep.",Africa,2012,1.9,22.9,2580,4.51,6.2,0,61.4
Chile,South America,2000,6.24,26.6,8556,15.34,8.8,0,76.4
Antigua and Barbuda,Central America and Caribbean,2001,6.85,25.2,13220,0.08,8.9,0,74.2
Tajikistan,Asia,2001,0.8,24.2,468,6.32,10.6,0,62.8
Solomon Islands,Oceania,2005,1.13,25.3,1827,0.47,4.8,0,69.2
Kiribati,Oceania,2007,0.55,29.3,1493,0.1,7.5,0,65
Afghanistan,Asia,2005,0.016,22.2,346,25.65,2.6,0,58.3
Sao Tome and Principe,Central America and Caribbean,2015,5,24.7,1585,0.2,5.6,0,69.4
Myanmar,Asia,2006,0.67,21.8,610,49.3,3.7,0,61.9
Belarus,Rest of Europe,2014,11.29,26.5,6213,9.45,12.1,0,73
Albania,Rest of Europe,2013,4.28,26.4,3781,2.9,9.7,0,77.6
"Yemen, Rep.",Middle East,2006,0.038,22.9,2543,20.69,2,0,64
St. Lucia,Central America and Caribbean,2003,13.78,27.4,9209,0.16,7.3,0,73.8
Zimbabwe,Africa,2014,4.22,23.8,1444,13.59,8.2,0,58.4
Kyrgyz Republic,Asia,2010,6.02,25.8,966,5.45,10.6,0,69.3
Nicaragua,Central America and Caribbean,2012,3.6,26.9,1851,5.98,6.3,0,73
Australia,Oceania,2001,9.53,26.3,45865,19.41,11.9,1,79.6
Turkiye,Middle East,2000,1.66,26.7,6544,63.24,5.5,0,70
Pakistan,Asia,2015,0.04,23.9,1357,199.43,5.1,0,66.6
Bhutan,Asia,2006,0.28,22.9,1572,0.66,2.3,0,66
Montenegro,Rest of Europe,2000,10.25,25.2,4432,0.6,10.3,0,73.2
Finland,European Union,2011,9.81,26,44467,5.39,12.3,1,80.5
Qatar,Middle East,2010,1.07,28.5,63002,1.86,8.4,0,79.1
Paraguay,South America,2013,5.62,26.4,5130,6.51,8.3,0,73.3
Serbia,Rest of Europe,2002,9.2,25.4,3640,7.5,9.7,0,72.3
Cote d'Ivoire,Africa,2006,0.81,23.2,1575,18.75,3.8,0,50.6
China,Asia,2009,4.88,23.1,5129,1331.26,7.1,0,74.1
Cameroon,Africa,2013,6.56,24.2,1306,22.08,5.9,0,56.6
Thailand,Asia,2014,6.91,24.2,5685,68.44,7.6,0,75.7
Philippines,Asia,2014,4.61,23,2867,100.51,9.2,0,70.5
Somalia,Africa,2003,0,22.3,202,9.82,2.1,0,51.8
Haiti,Central America and Caribbean,2004,3.58,23.8,1266,9.05,4.2,0,58.3
Oman,Middle East,2012,0.49,26.1,20102,3.5,8.6,0,76.1
Azerbaijan,Asia,2010,0.99,26.4,5215,9.05,10.7,0,70.9
Italy,European Union,2006,8.44,25.6,33752,58.14,9.3,1,81.3
Montenegro,Rest of Europe,2001,10.22,25.3,4462,0.61,10.3,0,73.2
Seychelles,Africa,2008,6.68,26.1,12154,0.09,8,0,73.2
Barbados,Central America and Caribbean,2008,8.63,27.1,18240,0.28,9.3,0,78.2
"Congo, Dem. Rep.",Africa,2004,2.03,21.1,354,53.07,4.1,0,52.9
Lao PDR,Asia,2001,3.14,21.2,974,5.41,4,0,59.4
Japan,Asia,2006,7.48,22.6,33532,127.85,11.2,1,82.3
Brazil,South America,2010,7.16,25.8,8702,195.71,6.9,0,73.6
Poland,European Union,2007,10.39,25.9,9749,38.12,11.8,1,75.2
Tunisia,Africa,2014,1.48,26.2,4098,11.06,6.9,0,75.7
Moldova,Rest of Europe,2013,8.48,26.8,2589,2.86,11.6,0,71
Peru,South America,2008,4.95,25.8,4805,28.56,8.4,0,73.8
Bhutan,Asia,2007,0.15,23,1840,0.66,2.3,0,66.7
Bosnia and Herzegovina,Rest of Europe,2002,4.08,24.9,3057,3.76,7.2,0,74.8
United Arab Emirates,Middle East,2005,2.68,27.5,53845,4.59,9.1,0,75.4
Qatar,Middle East,2004,1,28,61583,0.75,8.4,0,78.1
Madagascar,Africa,2009,0.83,21,480,20.57,5.9,0,62.9
St. Lucia,Central America and Caribbean,2000,12.8,26.9,9327,0.16,7,0,73.3
Finland,European Union,2004,9.89,25.9,41522,5.23,11.9,1,78.7
Lebanon,Middle East,2004,1.87,26.7,6677,4.57,7.5,0,76.4
Madagascar,Africa,2010,0.96,21.1,469,21.15,6,0,63.4
India,Asia,2013,3.03,21.6,1416,1280.84,5.8,0,67.9
Somalia,Africa,2013,0,23,330,13.06,2.1,0,55.1
Eritrea,Africa,2014,1.03,20.6,828,3.41,3.9,0,64.2
Eritrea,Africa,2008,0.66,20.5,638,3.06,3.8,0,61
Netherlands,European Union,2011,8.95,25.5,44869,16.69,12,1,81.2
Paraguay,South America,2004,5.17,25.4,3903,5.73,7.1,0,71.5
Benin,Africa,2004,1.25,22.5,956,7.75,2.7,0,56.9
China,Asia,2014,5.65,23.6,7533,1371.86,7.6,0,75.6
Bhutan,Asia,2002,0.3,22.4,1279,0.62,2.3,0,62.7
Estonia,European Union,2007,17.47,26,17459,1.34,12.2,1,72.8
Ghana,Africa,2015,1.75,23.9,1774,27.85,6.9,0,62.8
Mauritius,Africa,2002,3.91,24.6,5726,1.2,6.6,0,72
Afghanistan,Asia,2010,0.02,22.7,526,29.19,3.2,0,61
Philippines,Asia,2011,4.85,22.8,2484,95.57,9,0,70
Mongolia,Asia,2012,7.53,25.7,3336,2.82,9.9,0,68.2
Malawi,Africa,2011,1.88,22.6,366,14.96,4.3,0,57.2
Finland,European Union,2015,8.52,25.9,42802,5.48,12.4,1,81.5
Czechia,European Union,2003,13.87,26.6,13428,10.19,11.4,1,75.2
Fiji,Oceania,2001,2.35,26.4,4174,0.81,9.5,0,65.9
Afghanistan,Asia,2015,0,23.3,556,34.41,3.6,0,63.4
Belize,Central America and Caribbean,2015,6.71,28.9,4805,0.36,10.5,0,74
Tajikistan,Asia,2008,0.56,25,739,7.21,11,0,67.9
Mozambique,Africa,2006,0.59,22,409,21.08,2.9,0,50.6
Cuba,Central America and Caribbean,2005,4.48,24.9,5183,11.26,9.9,0,77.7
Romania,European Union,2005,9.63,25.4,6299,21.32,10.1,1,71.9
Burkina Faso,Africa,2014,6.93,22,647,17.59,1.4,0,59.5
Botswana,Africa,2002,6.43,23.8,4684,1.7,7.9,0,50.2
Suriname,South America,2000,4.46,25.4,6202,0.47,7.7,0,67.8
Vietnam,Asia,2009,1.97,20.9,1913,87.09,8,0,74.7
Oman,Middle East,2004,0.59,25.6,19486,2.45,6.6,0,73.9
Vanuatu,Oceania,2007,1.01,25.8,2790,0.22,6.6,0,68.7
Vietnam,Asia,2000,0.71,19.9,1170,79.91,5.4,0,73
Belarus,Rest of Europe,2007,13.91,26.2,4685,9.56,10.6,0,70.2
Cameroon,Africa,2011,5.9,24,1255,20.91,5.5,0,55.6
"Iran, Islamic Rep.",Middle East,2002,0.012,25.2,4234,67.28,6.5,0,70.9
Kuwait,Middle East,2010,0,29,32035,2.99,6.8,0,74.4
Gabon,Africa,2005,7.56,24.3,7504,1.39,6.9,0,58.2
